hata,hata_tipi
Otopark temel süzgeç kenarı beton bitiş kusuru ,İmalat Hatası
Otopark temel soğuk derzden beton dökülmemiş kısıma çimento şerbeti sızması ,İmalat Hatası
Otopark temeli üzeri mobil vinç beton pompasından zemine motor yağı sızması temel yüzeyine zarar verilmesi ,İmalat Hatası
Otopark temel soğuk derz kesim yerinden beton dökülmemiş bölüme beton çimento şerbeti sızması ,İmalat Hatası
Betonarme imalat kalitesiyle ilgili uygulama sorunları ,Yapım Yöntemine Uygunsuzluk
İksa dolgu betonu esnasında kalıbın açması perde izolasyon arkasına beton dolması ,İmalat Hatası
Kule altı asansör kuyusu etrafı K2B411AOBA aksarı arası grobeton yüzeyine perdah yapılmaması ,Yapım Yöntemine Uygunsuzluk
2450 kotu 719B1BC aksları arası temel betonu kolon içi temel yüzeyi perdah bozukluğu ,Yapım Yöntemine Uygunsuzluk
Saha temizlik imalata kişilere zarar verecek atık hurda maddelerin uzaklaştırılması ,İmalat Hatası
Beton tamiratlarında uygunsuz malzeme kullanımı bozuk tamirat işçiliği ,Malzeme Hatası
Kolon perde temel betonlarında beton dışında kalan demirlerin korunmaması betonlanması ,İmalat Hatası
Segregasyon ,Yapım Yöntemine Uygunsuzluk
Dilatasyonda izolasyona zarar verilmesi ,Yapım Yöntemine Uygunsuzluk
Kolon perde yüzeylerinde çokça büyükçe hava boşluğu çıkması ,Malzeme Hatası
Temel betonu kusurları ,İmalat Hatası
Kolonperde yüzeyinde hava boşluğu çıkması kalıp ek yerinde diş oluşması ,Malzeme Hatası
Betonarme imalatlarda eski kalıp malzemesi kullanılması ,Malzeme Hatası
Kalıp imalat kalitesi ,Malzeme Hatası
Döşeme betonu yüzey bozukluğu ,İmalat Hatası
Segregasyon ,Yapım Yöntemine Uygunsuzluk
Beton küründe gecikme ,Yapım Yöntemine Uygunsuzluk
Döşemede kirişte çatlak oluşması döşemede delik açılarak betonarmeye zarar verilmesi ,İmalat Hatası
Mekanik PVC tesisatların ağızlarının kapatılması korunması ,Yapım Yöntemine Uygunsuzluk
Park parsel B blok arası dilatasyon yalıtımı ,Yapım Yöntemine Uygunsuzluk
Kabayapı uygunsuzlukları ,İmalat Hatası
Kabayapı uygunsuzlukları ,İmalat Hatası
Tayrot delik tamiratları ,Yapım Yöntemine Uygunsuzluk
Kaba yapı uygunsuzlukları ,İmalat Hatası
Merdiven betonu kalıp işçilik bozukluğu ,İmalat Hatası
Kolon perdelerde segregasyon çıkması onaysız tamir harcı tamirat yapılması ,Malzeme Hatası
Döşeme betonlarının mm den düşük yüksek dökülmesi ,Yapım Yöntemine Uygunsuzluk
Şantiyede tertip düzenli çalışılmaması temizlik yapılmaması ,İmalat Hatası
Döşme betonunun cm yüksek dökülmesi perde betonu dökümünde soğuk derzden beton akıntısı ,Yapım Yöntemine Uygunsuzluk
Temel yanı sürme izolasyon yapılması imalat teslimi ,Yapım Yöntemine Uygunsuzluk
KolonPerde Yüzeylerinde kuş gözü hava boşluğu oluşması ,Malzeme Hatası
Merdiven perdelerinde kamera boru bırakılmaması ,Yapım Yöntemine Uygunsuzluk
Merdiven betonu işçilik bozukluğu ,İmalat Hatası
Kolon  perde beton yüzeylerinde kuş gözü hava boşluğu oluşması ,Malzeme Hatası
Erken Kalıp Sökümü ,Yapım Yöntemine Uygunsuzluk
Temel drenaj çukurlarına pompa konularak suların çekilmesi açık süzgeç ağızlarının kapatılması ,İmalat Hatası
Asansör Mekanik Şaftlarda Standartlara Uygun Olmayan Platform Yapılması ,İmalat Hatası
Saha temizlik imalata kişilere zarar verecek atık hurda maddelerin uzaklaştırılması ,İmalat Hatası
Döşeme betonunun mm yüksek dökülmesi ,İmalat Hatası
